first_name,last_name,SSN,title,phone_number,mobile,email,address
Haffi,Stfnsn,4204206969,Co-Meistari,4217575,8773821,HaffiStfnsn@nan.is,Heimahonum 1
first_name,last_name,SSN,title,phone_number,mobile,email,address
Breki,Hardarson,1206963359,Meistari,5812345,7891234,BrekiHardarson@nan.is,Heimahjamer 2
first_name,last_name,SSN,title,phone_number,mobile,email,address
Haffi,Stfnsn,4204206969,Co-Meistari,4217575,8773821,HaffiStfnsn@nan.is,Heimahonum 1
1,2,3,4,5,6,7,8
breki,hardar,1206963369,heimsmeistari,4312323,8667326,brekih@nan.is,lerkgir 2
krisjts,mella,4012042014,stuff,2312311,5123123,kfdsfksi@nan.is,heima 2
gummi,lego,4,yes,123,123,gunnni,asd
8,7,6,5,4,3,2,1
kalli,mali,4,3,2,1,4,3
haffi,bondi,123,kukur,6543,654,jrjfr,kikiki
